managerID,teamID,startDate,endDate
390,162,2014-11-01,2016-01-01
391,162,2014-07-01,2014-11-01
391,162,2010-05-01,2014-05-01
393,163,2018-12-01,2021-03-01
394,163,2017-11-01,2018-12-01
395,163,2016-07-01,2017-11-01
396,163,2016-01-01,2016-09-01
397,163,2013-07-01,2016-01-01
398,164,2019-07-01,2021-02-01
165,164,2016-10-01,2019-06-01
380,164,2016-04-01,2016-10-01
114,164,2015-08-01,2016-04-01
111,164,2014-07-01,2015-08-01
399,164,2013-12-01,2014-06-01
400,165,2019-10-01,2021-03-01
388,165,2019-07-01,2019-09-01
401,165,2018-06-01,2019-05-01
402,165,2012-07-01,2018-06-01
403,166,2017-05-01,2021-05-01
404,166,2017-01-01,2017-05-01
392,166,2016-01-01,2017-01-01
396,166,2013-12-01,2015-12-01
405,167,2011-07-01,2021-05-01
395,168,2019-08-01,2020-12-01
406,168,2018-10-01,2019-08-01
355,168,2018-06-01,2018-10-01
18,168,2017-07-01,2018-05-01
407,168,2016-12-01,2017-06-01
384,168,2016-07-01,2016-12-01
403,168,2012-05-01,2016-06-01
408,169,2020-08-01,2021-02-01
409,169,2019-09-01,2020-08-01
410,169,2019-07-01,2019-09-01
411,169,2018-11-01,2019-05-01
412,169,2016-07-01,2018-11-01
411,169,2010-07-01,2016-06-01
413,170,2020-12-01,2021-05-01
37,170,2018-07-01,2020-12-01
294,170,2016-07-01,2018-06-01
13,170,2012-05-01,2016-06-01
243,171,2020-07-01,2022-01-01
362,171,2019-12-01,2020-07-01
414,171,2019-01-01,2019-12-01
415,171,2018-10-01,2019-01-01
414,171,2014-07-01,2018-10-01
18,171,2012-05-01,2014-05-01
416,172,2019-06-01,2021-12-01
388,172,2018-05-01,2019-06-01
417,172,2016-07-01,2018-05-01
418,172,2016-02-01,2016-06-01
419,172,2015-12-01,2016-02-01
420,172,2010-06-01,2015-12-01
238,173,2014-11-01,
486,173,2013-06-01,2013-11-01
373,173,2013-01-01,2013-05-01
402,174,2020-06-01,2021-06-01
426,174,2020-01-01,2020-06-01
412,174,2019-10-01,2020-01-01
427,174,2018-06-01,2019-10-01
428,174,2018-01-01,2018-05-01
400,174,2016-03-01,2018-01-01
429,174,2015-03-01,2016-02-01
13,175,2019-10-01,2021-12-01
390,175,2019-06-01,2019-10-01
404,175,2017-12-01,2019-06-01
354,175,2017-06-01,2017-11-01
379,175,2009-12-01,2017-06-01
404,176,2020-08-01,2021-07-01
215,176,2019-03-01,2020-08-01
430,176,2018-09-01,2019-02-01
431,176,2018-08-01,2019-03-01
359,176,2018-01-01,2018-08-01
411,176,2016-07-01,2018-01-01
432,176,2016-03-01,2016-06-01
433,176,2014-07-01,2016-03-01
434,176,2011-06-01,2014-05-01
435,177,2017-05-01,2021-05-01
403,177,2016-07-01,2017-05-01
435,177,2016-04-01,2016-06-01
436,177,2015-04-01,2016-04-01
437,177,2014-07-01,2015-04-01
438,177,2010-07-01,2014-06-01
165,178,2019-10-01,2021-05-01
439,178,2019-07-01,2019-10-01
440,178,2015-12-01,2019-06-01
438,178,2014-07-01,2015-12-01
3,178,2011-06-01,2014-06-01
441,179,2019-05-01,2022-06-01
442,179,2017-05-01,2019-05-01
443,179,2016-11-01,2017-05-01
444,179,2014-07-01,2016-10-01
395,179,2003-07-01,2014-06-01
382,180,2020-10-01,2022-06-01
445,180,2018-12-01,2020-10-01
382,180,2018-05-01,2019-06-01
392,180,2017-10-01,2018-05-01
446,180,2015-12-01,2017-10-01
447,180,2015-07-01,2015-12-01
423,180,2012-07-01,2015-06-01
448,181,2020-11-01,2021-08-01
449,181,2019-06-01,2020-11-01
412,181,2019-01-01,2019-06-01
450,181,2012-06-01,2018-12-01
417,182,2019-07-01,2021-05-01
451,182,2018-10-01,2019-06-01
452,182,2018-04-01,2018-10-01
453,182,2018-01-01,2018-04-01
445,182,2017-08-01,2018-01-01
454,182,2013-10-01,2017-08-01
57,202,2018-05-01,2019-04-01
69,202,2012-11-01,2015-02-01
70,202,2015-02-01,2015-11-01
71,202,2015-12-01,2016-11-01
72,202,2016-11-01,2018-05-01
73,202,2019-05-01,2022-06-01
455,203,2020-01-01,2022-06-01
456,203,2019-06-01,2020-01-01
457,203,2018-07-01,2019-06-01
202,203,2017-10-01,2018-07-01
458,203,2016-10-01,2017-09-01
234,203,2015-07-01,2016-10-01
136,203,2014-12-01,2015-06-01
459,203,2012-09-01,2014-12-01
460,205,2017-04-01,2021-06-01
461,205,2016-12-01,2017-04-01
462,205,2016-03-01,2016-11-01
463,205,2015-10-01,2016-03-01
464,205,2015-07-01,2015-10-01
277,205,2013-07-01,2015-06-01
421,206,2021-04-01,
465,206,2020-12-01,2021-04-01
353,206,2020-03-01,2020-12-01
306,206,2019-10-01,2020-03-01
370,206,2019-07-01,2019-10-01
508,206,2019-02-01,2019-06-01
466,206,2018-11-01,2019-02-01
330,206,2018-08-01,2018-11-01
330,206,2018-02-01,2018-06-01
468,206,2017-12-01,2018-02-01
469,206,2016-11-01,2017-10-01
365,206,2015-07-01,2016-11-01
471,206,2015-03-01,2015-06-01
343,206,2014-10-01,2015-03-01
222,206,2014-02-01,2014-10-01
470,206,2013-07-01,2014-02-01
472,207,2020-08-01,2021-02-01
473,207,2018-02-01,2020-08-01
474,207,2017-11-01,2018-02-01
475,207,2017-07-01,2017-11-01
476,207,2016-07-01,2017-04-01
329,207,2015-07-01,2016-06-01
315,207,2012-07-01,2015-06-01
477,208,2020-07-01,2021-04-01
478,208,2019-11-01,2020-06-01
479,208,2019-08-01,2019-11-01
480,208,2018-04-01,2019-06-01
351,208,2017-11-01,2018-04-01
481,208,2017-03-01,2017-11-01
482,208,2016-07-01,2017-02-01
483,208,2015-12-01,2016-05-01
484,208,2015-10-01,2015-12-01
248,208,2015-04-01,2015-10-01
485,208,2014-12-01,2015-04-01
467,208,2013-07-01,2014-12-01
524,209,2020-10-01,2021-05-01
525,209,2019-07-01,2020-09-01
526,209,2018-07-01,2019-06-01
527,209,2016-01-01,2016-06-01
528,209,2015-07-01,2016-01-01
400,209,2012-09-01,2015-06-01
487,210,2020-02-01,
397,210,2018-05-01,2020-02-01
488,210,2017-08-01,2018-05-01
427,210,2016-07-01,2017-08-01
412,210,2013-06-01,2016-06-01
87,219,2014-09-01,2015-11-01
88,219,2015-11-01,2019-01-01
89,219,2019-01-01,2019-08-01
90,219,2019-09-01,2020-07-01
91,219,2020-07-01,2022-07-01
53,220,2019-05-01,2022-09-01
92,220,2014-06-01,2014-12-01
93,220,2014-12-01,2019-05-01
138,221,2020-08-01,2021-03-01
489,221,2020-02-01,2020-08-01
490,221,2014-12-01,2020-02-01
491,221,2014-07-01,2014-12-01
492,221,2013-10-01,2014-06-01
170,222,2019-06-01,2021-06-01
493,222,2018-07-01,2019-06-01
189,222,2017-10-01,2018-06-01
191,222,2016-07-01,2017-10-01
494,222,2015-07-01,2016-06-01
495,222,2015-04-01,2015-06-01
496,222,2015-04-01,2015-06-01
497,222,2014-01-01,2015-04-01
467,223,2020-06-01,2021-06-01
378,223,2019-10-01,2020-06-01
357,223,2019-07-01,2019-10-01
131,223,2018-07-01,2019-06-01
122,223,2014-03-01,2018-06-01
498,223,2013-12-01,2014-03-01
499,224,2020-09-01,2021-06-01
500,224,2019-07-01,2020-09-01
441,224,2014-12-01,2019-05-01
501,224,2014-06-01,2014-12-01
502,224,2013-09-01,2014-06-01
425,225,2016-07-01,2021-05-01
503,225,2014-03-01,2016-06-01
504,225,2011-07-01,2014-03-01
35,227,2016-10-01,2019-11-01
63,227,2014-01-01,2014-09-01
94,227,2014-10-01,2016-05-01
95,227,2016-05-01,2016-10-01
96,227,2019-11-01,2021-01-01
97,227,2021-01-01,2021-10-01
18,228,2018-11-01,2019-02-01
79,228,2015-12-01,2018-11-01
98,228,2014-02-01,2014-09-01
