name,code,born
Aristote N'Dongala,COD,1994
Aristoteles Romero,VEN,1995
Aritz Aduriz,ESP,1981
Aritz Arambarri,ESP,1998
Aritz Elustondo,ESP,1994
Aritz Lopez Garai,ESP,1980
Arjen Robben,NED,1984
Arkadiusz Milik,POL,1994
Arkadiusz Reca,POL,1995
Arlind Ajeti,ALB,1993
Armand Lauriente,FRA,1998
Armand Traore,SEN,1989
Armando Broja,ALB,2001
Armando Izzo,ITA,1992
Armando Sadiku,ALB,1991
Arnaud Kalimuendo,FRA,2002
Arnaud Lusamba,COD,1997
Arnaud Nordin,FRA,1998
Arnaud Souquet,FRA,1992
Arnaut Groeneveld,NED,1997
Arne Maier,GER,1999
Arnel Jakupovic,AUT,1998
Arnold Bouka Moutou,CGO,1988
Arnold Mvuemba,COD,1985
Aron Gunnarsson,ISL,1989
Aron Johannsson,USA,1990
Arona Sane,SEN,1995
Arouna Kone,CIV,1983
Artem Fedetskyi,UKR,1985
Artem Kravets,UKR,1989
Arthur Boka,CIV,1983
Arthur Masuaku,COD,1993
Arthur Melo,BRA,1996
Arthur Zagre,FRA,2001
Artjoms Rudnevs,LVA,1988
Arton Zekaj,KVX,2000
Artur Boruc,POL,1980
Artur Ionita,MDA,1990
Artur Sobiech,POL,1990
Arturo Calabresi,ITA,1996
Arturo Vidal,CHI,1987
Asdrubal Padron,ESP,1991
Ashley Barnes,ENG,1989
Ashley Cole,ENG,1980
Ashley Fletcher,ENG,1995
Ashley Westwood,ENG,1990
Ashley Williams,WAL,1984
Ashley Young,ENG,1985
Ashton Gotz,GER,1993
Asier Illarramendi,ESP,1990
Asier Riesgo,ESP,1983
Asier Villalibre,ESP,1997
Asmir Begovic,BIH,1987
Assane Diousse,SEN,1997
Assane Gnoukouri,CIV,1996
Assani Lukimya-Mulongoti,COD,1986
Assil Jaziri,TUN,1999
Atakan Karazor,GER,1996
Atila Turan,TUR,1992
Atsuto Uchida,JPN,1988
Augusto Fernandez,ARG,1986
Augusto Solari,ARG,1992
Augustus Kargbo,SLE,1999
Aurelien Chedjou,CMR,1985
Aurelien Scheidler,FRA,1998
Aurelien Tchouameni,FRA,2000
Axel Disasi,FRA,1998
Axel Ngando,FRA,1993
Axel Tuanzebe,ENG,1997
Axel Werner,ARG,1996
Axel Witsel,BEL,1989
Aymen Abdennour,TUN,1989
Aymen Barkok,MAR,1998
Aymeric Laporte,ESP,1994
Ayoze Perez,ESP,1993
Aytac Sulu,TUR,1985
Aythami Artiles,ESP,1986
Azbe Jug,SVN,1992
Ba-Muaka Simakala,CGO,1997
Baba Diawara,SEN,1988
Baba Rahman,GHA,1994
Babacar Gueye,SEN,1994
Bacary Sagna,FRA,1983
Badou Ndiaye,SEN,1990
Bafetimbi Gomis,FRA,1985
Bafode Diakite,FRA,2001
Bailey Peacock-Farrell,NIR,1996
Baily Cargill,ENG,1995
Baissama Sankoh,GUI,1992
Bakary Kone,BFA,1988
Bakary Sako,MLI,1988
Bakaye Dibassy,MLI,1989
Bakery Jatta,GAM,1998
Bamba Dieng,SEN,2000
Bandiougou Fadiga,FRA,2001
Baptiste Aloe,FRA,1994
Baptiste Gabard,FRA,2000
Baptiste Guillaume,BEL,1995
Baptiste Reynet,FRA,1990
Baptiste Santamaria,FRA,1995
Barcia,ESP,2000
Bard Finne,NOR,1995
Baris Atik,GER,1995
Barri,ESP,1995
Barry Bannan,SCO,1989
Bartlomiej Dragowski,POL,1997
Bartosz Bereszynski,POL,1992
Bartosz Bialek,POL,2001
Bartosz Kapustka,POL,1996
Bartosz Salamon,POL,1991
Bas Dost,NED,1989
Bassem Srarfi,TUN,1997
Bastian Badu,FRA,2000
Bastian Oczipka,GER,1989
Bastian Schweinsteiger,GER,1984
Bastos,ANG,1991
Batista Mendy,FRA,2000
Batuhan Altistan,TUR,1996
Bebe,CPV,1990
Ben Chilwell,ENG,1996
Ben Davies,WAL,1993
Ben Foster,ENG,1983
Ben Gibson,ENG,1993
Ben Godfrey,ENG,1998
Ben Hamer,ENG,1987
Ben Johnson,ENG,2000
Ben Mee,ENG,1989
Ben Osborn,ENG,1994
Ben Watson,ENG,1985
Ben White,ENG,1997
Ben Wilmot,ENG,1999
Ben Woodburn,WAL,1999
Ben Zolinski,GER,1992
Benat Etxebarria,ESP,1987
Benedikt Howedes,GER,1988
Bengali-Fode Koita,GUI,1990
Beni Baningime,COD,1998
Benik Afobe,COD,1993
Benito Raman,BEL,1994
Benito Ramirez,ESP,1995
Benjamin Andre,FRA,1990
Benjamin Angoua,CIV,1986
Benjamin Boulenger,FRA,1990
Benjamin Bourigeaud,FRA,1994
Benjamin Corgnet,FRA,1987
Benjamin Goller,GER,1999
Benjamin Gorka,GER,1984
Benjamin Hadzic,BIH,1999
Benjamin Henrichs,GER,1997
Benjamin Hubner,GER,1989
Benjamin Jeannot,FRA,1992
Benjamin Karamoko,MLI,1995
Benjamin Lecomte,FRA,1991
Benjamin Leroy,FRA,1989
Benjamin Mendy,FRA,1994
Benjamin Mokulu,COD,1989
Benjamin Moukandjo,CMR,1988
Benjamin Nivet,FRA,1977
Benjamin Pavard,FRA,1996
Benjamin Stambouli,FRA,1990
Benno Schmitz,GER,1994
Benoit Assou-Ekotto,CMR,1984
Benoit Badiashile,FRA,2001
Benoit Costil,FRA,1987
Benoit Pedretti,FRA,1980
Benoit Tremoulinas,FRA,1985
Beram Kayal,ISR,1988
Berat Djimsiti,ALB,1993
Berkay Ozcan,TUR,1998
Bernard,BRA,1992
Bernard Mensah,GHA,1994
Bernard Tekpetey,GHA,1997
Bernardo,BRA,1995
Bernardo Espinosa,COL,1989
Bernardo Silva,POR,1994
Bernd Leno,GER,1992
Bersant Celina,KVX,1996
Bertrand Traore,BFA,1995
Beto,POR,1982
Biagio Meccariello,ITA,1991
Bilal Benkhedim,FRA,2001
Bilal Boutobba,FRA,1998
Bill Tuiloma,NZL,1995
Billel Omrani,ALG,1993
Billy Gilmour,SCO,2001
Billy Jones,ENG,1987
Billy Ketkeophomphone,LAO,1990
Billy Sharp,ENG,1986
Bingourou Kamara,SEN,1996
Birama Toure,MLI,1992
Birger Meling,NOR,1994
Birger Verstraete,BEL,1994
Birk Risa,NOR,1998
Birkir Bjarnason,ISL,1988
Bjorn Engels,BEL,1994
Blaise Matuidi,FRA,1987
Blanco,ESP,2000
Blendi Idrizi,KVX,1998
Blerim Dzemaili,SUI,1986
Boaz Myhill,WAL,1982
Bobby Adekanye,NED,1999
Bobby Allain,FRA,1991
Bobby Reid,JAM,1993
Bobby Wood,USA,1992
Bobby Zamora,ENG,1981
Bocundji Ca,GNB,1986
Bojan Jokic,SVN,1986
Bojan Krkic,ESP,1990
Bongani Zungu,RSA,1992
Boris Mathis,FRA,1997
Boris Radunovic,SRB,1996
Borja Baston,ESP,1992
Borja Ekiza,ESP,1988
Borja Fernandez,ESP,1981
