contractID,managerID,teamID,managerName,startDate,endDate
249,11,117,Carlo Ancelotti,201607,201709
250,61,117,Pep Guardiola,201307,201606
251,245,118,Daniel Thioune,202007,202105
252,246,118,Dieter Hecking,201907,202006
253,247,118,Hannes Wolf,201810,201906
254,248,118,Christian Titz,201803,201810
255,249,118,Markus Gisdol,201609,201801
256,250,118,Bruno Labbadia,201504,201609
257,251,118,Josef Zinnbauer,201409,201503
258,252,118,Mirko Slomka,201402,201409
259,253,118,Bert van Marwijk,201309,201402
260,254,119,Peter Bosz,201812,202103
261,255,119,Heiko Herrlich,201707,201812
262,256,119,Tayfun Korkut,201703,201706
263,257,119,Roger Schmidt,201407,201703
264,229,119,Sascha Lewandowski,201404,201406
265,92,119,Sami Hyypia,201307,201404
266,259,120,Sebastian Hoeneb,202008,202206
267,260,120,Alfred Schreuder,201907,202006
268,261,120,Julian Nagelsmann,201602,201906
269,262,120,Huub Stevens,201510,201602
270,249,120,Markus Gisdol,201304,201510
271,255,121,Heiko Herrlich,202003,202104
272,263,121,Martin Schmidt,201904,202003
273,264,121,Manuel Baum,201612,201904
274,265,121,Dirk Schuster,201607,201612
275,266,121,Markus Weinzierl,201207,201606
276,250,122,Bruno Labbadia,202004,202101
277,267,122,Alexander Nouri,202002,202004
278,268,122,Jurgen Klinsmann,201911,202002
279,269,122,Ante Covic,201907,201911
280,270,122,Pal Dardai,201502,201906
281,271,122,Jos Luhukay,201207,201502
282,272,123,Florian Kohfeldt,201711,202105
283,267,123,Alexander Nouri,201610,201710
284,273,123,Viktor Skrypnyk,201410,201609
285,274,123,Robin Dutt,201307,201410
286,275,124,Christian Gross,202012,202102
287,264,124,Manuel Baum,202009,202012
288,88,124,David Wagner,201907,202009
289,262,124,Huub Stevens,201903,201906
290,276,124,Domenico Tedesco,201707,201903
291,266,124,Markus Weinzierl,201607,201706
292,277,124,Andre Breitenreiter,201507,201606
293,4,124,Roberto Di Matteo,201410,201505
294,228,124,Jens Keller,201212,201410
295,278,125,Jan-Moritz Lichte,202009,202012
296,279,125,Achim Beierlorzer,201911,202009
297,280,125,Sandro Schwarz,201707,201911
298,263,125,Martin Schmidt,201502,201705
299,281,125,Kasper Hjulmand,201407,201502
300,43,125,Thomas Tuchel,200908,201405
301,282,126,Tomas Oral,201904,202109
302,228,126,Jens Keller,201812,201904
303,267,126,Alexander Nouri,201809,201811
304,283,126,Stefan Leitl,201708,201809
305,284,126,Maik Walpurgis,201611,201708
306,16,126,Ralph Hasenhuttl,201310,201611
307,286,127,Markus Anfang,202007,202105
308,287,127,Dimitrios Grammozis,201902,202006
309,265,127,Dirk Schuster,201712,201902
310,288,127,Torsten Frings,201612,201712
311,143,127,Norbert Meier,201607,201612
312,265,127,Dirk Schuster,201212,201606
313,289,128,Kenan Kocak,201911,202106
314,252,128,Mirko Slomka,201907,201911
315,290,128,Thomas Doll,201901,201906
316,277,128,Andre Breitenreiter,201703,201901
317,291,128,Daniel Stendel,201604,201703
318,292,128,Thomas Schaaf,201601,201604
319,293,128,Michael Frontzeck,201504,201512
320,256,128,Tayfun Korkut,201401,201504
321,294,129,Lucien Favre,201807,202012
322,295,129,Peter Stoger,201712,201806
323,254,129,Peter Bosz,201707,201712
324,43,129,Thomas Tuchel,201507,201705
325,59,129,Jurgen Klopp,200807,201506
326,296,130,Marco Rose,201907,202106
327,246,130,Dieter Hecking,201612,201906
328,297,130,Andre Schubert,201511,201612
329,294,130,Lucien Favre,201102,201509
330,298,131,Oliver Glasner,201907,202106
331,250,131,Bruno Labbadia,201802,201906
332,263,131,Martin Schmidt,201709,201802
333,299,131,Andries Jonker,201702,201709
334,300,131,Valerien Ismael,201611,201702
335,246,131,Dieter Hecking,201301,201610
336,301,132,Adi Hutter,201807,202106
337,243,132,Niko Kovac,201603,201806
338,302,132,Armin Veh,201507,201603
339,292,132,Thomas Schaaf,201407,201505
340,302,132,Armin Veh,201107,201406
341,303,133,Pellegrino Matarazzo,201912,202210
342,304,133,Tim Walter,201907,201912
343,305,133,Nico Willig,201904,201906
344,266,133,Markus Weinzierl,201810,201904
345,256,133,Tayfun Korkut,201801,201810
